Competizione,Turno,Data,Casa,Ospite,Lato,Squadra,Modulo,Gruppo,Ordine,Numero,Giocatore,Ruolo,Rating,Entrato al,Uscito al,ID partita
DFB-Pokal,QUARTI DI FINALE,11.02.2026,Bayern,RB Lipsia,Casa,Bayern,4-2-3-1,Panchina,4,21,Ito H.,,,90+4',,f3czdX2n
DFB-Pokal,QUARTI DI FINALE,11.02.2026,Bayern,RB Lipsia,Casa,Bayern,4-2-3-1,Panchina,5,42,Karl L.,,,,,f3czdX2n
DFB-Pokal,QUARTI DI FINALE,11.02.2026,Bayern,RB Lipsia,Casa,Bayern,4-2-3-1,Panchina,6,3,Kim Min-Jae,,,,,f3czdX2n
DFB-Pokal,QUARTI DI FINALE,11.02.2026,Bayern,RB Lipsia,Casa,Bayern,4-2-3-1,Panchina,7,27,Laimer K.,,6.6,69',,f3czdX2n
DFB-Pokal,QUARTI DI FINALE,11.02.2026,Bayern,RB Lipsia,Casa,Bayern,4-2-3-1,Panchina,8,10,Musiala J.,,6.7,69',,f3czdX2n
DFB-Pokal,QUARTI DI FINALE,11.02.2026,Bayern,RB Lipsia,Casa,Bayern,4-2-3-1,Panchina,9,40,Urbig J.,Portiere,,,,f3czdX2n
DFB-Pokal,QUARTI DI FINALE,11.02.2026,Bayern,RB Lipsia,Ospite,RB Lipsia,4-3-3,Titolare,1,26,Vandevoordt M.,Portiere,6.5,,,f3czdX2n
DFB-Pokal,QUARTI DI FINALE,11.02.2026,Bayern,RB Lipsia,Ospite,RB Lipsia,4-3-3,Titolare,2,17,Baku R.,,6.6,,,f3czdX2n
DFB-Pokal,QUARTI DI FINALE,11.02.2026,Bayern,RB Lipsia,Ospite,RB Lipsia,4-3-3,Titolare,3,4,Orban W.,,7.0,,,f3czdX2n
DFB-Pokal,QUARTI DI FINALE,11.02.2026,Bayern,RB Lipsia,Ospite,RB Lipsia,4-3-3,Titolare,4,23,Lukeba C.,,6.4,,90+4',f3czdX2n
DFB-Pokal,QUARTI DI FINALE,11.02.2026,Bayern,RB Lipsia,Ospite,RB Lipsia,4-3-3,Titolare,5,22,Raum D.,Capitano,7.2,,,f3czdX2n
DFB-Pokal,QUARTI DI FINALE,11.02.2026,Bayern,RB Lipsia,Ospite,RB Lipsia,4-3-3,Titolare,6,24,Schlager X.,,5.4,,78',f3czdX2n
DFB-Pokal,QUARTI DI FINALE,11.02.2026,Bayern,RB Lipsia,Ospite,RB Lipsia,4-3-3,Titolare,7,13,Seiwald N.,,5.2,,,f3czdX2n
DFB-Pokal,QUARTI DI FINALE,11.02.2026,Bayern,RB Lipsia,Ospite,RB Lipsia,4-3-3,Titolare,8,14,Baumgartner C.,,5.3,,89',f3czdX2n
DFB-Pokal,QUARTI DI FINALE,11.02.2026,Bayern,RB Lipsia,Ospite,RB Lipsia,4-3-3,Titolare,9,49,Diomande Y.,,6.7,,,f3czdX2n
DFB-Pokal,QUARTI DI FINALE,11.02.2026,Bayern,RB Lipsia,Ospite,RB Lipsia,4-3-3,Titolare,10,40,Romulo Cardoso,,6.0,,78',f3czdX2n
DFB-Pokal,QUARTI DI FINALE,11.02.2026,Bayern,RB Lipsia,Ospite,RB Lipsia,4-3-3,Titolare,11,7,Nusa A.,,5.7,,78',f3czdX2n
DFB-Pokal,QUARTI DI FINALE,11.02.2026,Bayern,RB Lipsia,Ospite,RB Lipsia,4-3-3,Panchina,1,9,Bakayoko J.,,,,,f3czdX2n
