competizione,turno_diretta,data,casa,ospite,club_casa,club_ospite,id_diretta,game_id,turno_nostro
EFL Cup,1/64 FINALE,2025-08-12,Bristol Rovers,Cambridge Utd,2455,986,IVLgzWl5,4634039.0,First Round
EFL Cup,1/64 FINALE,2025-08-12,Cardiff,Swindon,603,352,I5tIqhCC,4634045.0,First Round
EFL Cup,1/64 FINALE,2025-08-12,Charlton,Stevenage,358,3684,U5Fg1agL,4634042.0,First Round
EFL Cup,1/64 FINALE,2025-08-12,Chesterfield,Mansfield,1219,3820,h4KYieG7,4634033.0,First Round
EFL Cup,1/64 FINALE,2025-08-12,Coventry,Luton,990,1031,ljUxvEkt,4634036.0,First Round
EFL Cup,1/64 FINALE,2025-08-12,Gillingham FC,Wimbledon,2814,3884,QBHYMFFs,4634046.0,First Round
EFL Cup,1/64 FINALE,2025-08-12,Grimsby,Shrewsbury,1034,3054,vakym9YA,4634018.0,First Round
EFL Cup,1/64 FINALE,2025-08-12,Harrogate,Lincoln,12020,1198,G2kKn0vS,4634021.0,First Round
EFL Cup,1/64 FINALE,2025-08-12,Leyton Orient,Wycombe,1150,2805,I5f76fV0,4634040.0,First Round
EFL Cup,1/64 FINALE,2025-08-12,Northampton,Southampton,1302,180,phda8G0l,4634047.0,First Round
EFL Cup,1/64 FINALE,2025-08-12,Oxford Utd,Colchester,988,1060,t87cHBqJ,4634043.0,First Round
EFL Cup,1/64 FINALE,2025-08-12,Plymouth,QPR,2262,1039,CSFtLgpf,4634049.0,First Round
EFL Cup,1/64 FINALE,2025-08-12,Portsmouth,Reading,1020,1032,tvt2SyhK,4634051.0,First Round
EFL Cup,1/64 FINALE,2025-08-12,Salford,Rotherham,34888,1194,KzdBlM9F,4634020.0,First Round
EFL Cup,1/64 FINALE,2025-08-12,Stoke,Walsall,512,899,nNc3jru3,4634027.0,First Round
EFL Cup,1/64 FINALE,2025-08-12,Watford,Norwich,1010,1123,YwMp3LO8,4634041.0,First Round
EFL Cup,1/64 FINALE,2025-08-12,West Brom,Derby,984,22,8f9kJXE6,4634031.0,First Round
EFL Cup,1/64 FINALE,2025-08-12,Wigan,Notts County,1071,1045,EXmG4YaD,4634035.0,First Round
EFL Cup,1/64 FINALE,2025-08-12,Wrexham,Hull,1112,3008,pIujsv2k,4634025.0,First Round
EFL Cup,1/64 FINALE,2025-08-12,Barrow,Preston,6168,466,jJvQsWtP,4634017.0,First Round
EFL Cup,1/64 FINALE,2025-08-12,Middlesbrough,Doncaster,641,2454,WYoTlV3b,4634030.0,First Round
EFL Cup,1/64 FINALE,2025-08-12,Newport,Millwall,3716,1028,04GnT5y3,4699496.0,First Round
EFL Cup,1/64 FINALE,2025-08-12,Stockport,Crewe,1098,1042,QeP1Y9JH,4634023.0,First Round
EFL Cup,1/64 FINALE,2025-08-12,Swansea,Crawley,2288,3537,YacLFb8E,4634050.0,First Round
FA Cup,3° turno,2026-01-09,Wrexham,Nottingham,1112,703,MTifJyiD,4788497.0,Third Round
FA Cup,3° turno,2026-01-09,Preston,Wigan,466,1071,zZW42nBc,4788502.0,Third Round
FA Cup,3° turno,2026-01-09,Milton Keynes,Oxford Utd,991,988,femlyACb,4788516.0,Third Round
FA Cup,3° turno,2026-01-09,Port Vale,Fleetwood,1211,11177,2PUtsuqK,4788501.0,Third Round
FA Cup,3° turno,2026-01-10,Everton,Sunderland,29,289,OY97SuUQ,4788507.0,Third Round
FA Cup,3° turno,2026-01-10,Macclesfield,Crystal Palace,85287,873,4S3fD3PF,4788498.0,Third Round
FA Cup,3° turno,2026-01-10,Wolves,Shrewsbury,543,3054,xv5vnRQG,4788499.0,Third Round
FA Cup,3° turno,2026-01-10,Cheltenham,Leicester,3371,1003,2LjdZmsB,4788517.0,Third Round
FA Cup,3° turno,2026-01-10,Newcastle,Bournemouth,762,989,K4ewNJil,4788515.0,Third Round
FA Cup,3° turno,2026-01-10,Manchester City,Exeter,281,6699,YuauwWsn,4788503.0,Third Round
FA Cup,3° turno,2026-01-10,Sheffield Wed,Brentford,1035,1148,hjVzS5Zp,4788505.0,Third Round
FA Cup,3° turno,2026-01-10,Fulham,Middlesbrough,931,641,8tKigrYq,4788506.0,Third Round
FA Cup,3° turno,2026-01-10,Burnley,Millwall,1132,1028,S6GbU1aE,4788508.0,Third Round
FA Cup,3° turno,2026-01-10,Ipswich,Blackpool,677,1181,W0QD0QuA,4788522.0,Third Round
FA Cup,3° turno,2026-01-10,Stoke,Coventry,512,990,Of3np5eT,4788520.0,Third Round
FA Cup,3° turno,2026-01-10,Doncaster,Southampton,2454,180,8bDNk9Ri,4788500.0,Third Round
FA Cup,3° turno,2026-01-10,Boreham Wood,Burton,3867,2963,2XbcTqjf,4788512.0,Third Round
FA Cup,3° turno,2026-01-10,Tottenham,Aston Villa,148,405,dKq5XRBN,4788523.0,Third Round
FA Cup,3° turno,2026-01-10,Cambridge Utd,Birmingham,986,337,OUJeBsfS,4788518.0,Third Round
FA Cup,3° turno,2026-01-10,Bristol City,Watford,698,1010,fDAR5LHk,4788519.0,Third Round
FA Cup,3° turno,2026-01-10,Grimsby,Weston-super-Mare,1034,3712,2mDTXz66,4788513.0,Third Round
FA Cup,3° turno,2026-01-10,Charlton,Chelsea,358,631,0fu48Kxe,4788524.0,Third Round
FA Cup,3° turno,2026-01-11,Derby,Leeds,22,399,GOGVmmd4,4788525.0,Third Round
FA Cup,3° turno,2026-01-11,Portsmouth,Arsenal,1020,11,rupJvqJj,4788526.0,Third Round
FA Cup,3° turno,2026-01-11,West Ham,QPR,379,1039,GWlnLcM0,4788504.0,Third Round
FA Cup,3° turno,2026-01-11,Hull,Blackburn,3008,164,G6NaiM2d,4788514.0,Third Round
FA Cup,3° turno,2026-01-11,Norwich,Walsall,1123,899,M9TC6b77,4788509.0,Third Round
FA Cup,3° turno,2026-01-11,Swansea,West Brom,2288,984,O8rLb4AM,4788510.0,Third Round
FA Cup,3° turno,2026-01-11,Sheffield Utd,Mansfield,350,3820,WE5nFPf3,4788521.0,Third Round
FA Cup,3° turno,2026-01-11,Manchester Utd,Brighton,985,1237,Y7LCyJ6s,4788527.0,Third Round
