Competizione,Turno,Data,Casa,Ospite,Lato,Squadra,Modulo,Gruppo,Ordine,Numero,Giocatore,Ruolo,Rating,Entrato al,Uscito al,ID partita
Coppa di Francia,32esimi di finale,19.12.2025,Guingamp,Laval,Ospite,Laval,4-5-1,Titolare,7,8,Mandouki C.,Capitano,6.7,,,pQTMS30C
Coppa di Francia,32esimi di finale,19.12.2025,Guingamp,Laval,Ospite,Laval,4-5-1,Titolare,8,10,Montet E.,,7.4,,90+3',pQTMS30C
Coppa di Francia,32esimi di finale,19.12.2025,Guingamp,Laval,Ospite,Laval,4-5-1,Titolare,9,6,Benard W.,,6.4,,81',pQTMS30C
Coppa di Francia,32esimi di finale,19.12.2025,Guingamp,Laval,Ospite,Laval,4-5-1,Titolare,10,2,Clavreul E.,,5.4,,70',pQTMS30C
Coppa di Francia,32esimi di finale,19.12.2025,Guingamp,Laval,Ospite,Laval,4-5-1,Titolare,11,9,Tchokounte M.,,5.5,,81',pQTMS30C
Coppa di Francia,32esimi di finale,19.12.2025,Guingamp,Laval,Ospite,Laval,4-5-1,Panchina,1,12,Adilehou M.,,,,,pQTMS30C
Coppa di Francia,32esimi di finale,19.12.2025,Guingamp,Laval,Ospite,Laval,4-5-1,Panchina,2,13,Aradj Y.,,,81',,pQTMS30C
Coppa di Francia,32esimi di finale,19.12.2025,Guingamp,Laval,Ospite,Laval,4-5-1,Panchina,3,20,Beaudouin A.,,,,,pQTMS30C
Coppa di Francia,32esimi di finale,19.12.2025,Guingamp,Laval,Ospite,Laval,4-5-1,Panchina,4,16,Droyaux L.,Portiere,,,,pQTMS30C
Coppa di Francia,32esimi di finale,19.12.2025,Guingamp,Laval,Ospite,Laval,4-5-1,Panchina,5,19,Houdayer M.,,,90+3',,pQTMS30C
Coppa di Francia,32esimi di finale,19.12.2025,Guingamp,Laval,Ospite,Laval,4-5-1,Panchina,6,17,Maddy E.,,6.7,70',,pQTMS30C
Coppa di Francia,32esimi di finale,19.12.2025,Guingamp,Laval,Ospite,Laval,4-5-1,Panchina,7,18,Mupemba N.,,6.3,70',,pQTMS30C
Coppa di Francia,32esimi di finale,19.12.2025,Guingamp,Laval,Ospite,Laval,4-5-1,Panchina,8,14,Pellenard T.,,,,,pQTMS30C
