Competizione,Turno,Data,Casa,Ospite,Periodo,Minuto,Lato,Tipo evento,Giocatore,Punteggio dopo,ID partita
Coppa di Francia,7° turno,15.11.2025,Oissel,Quevilly Rouen,2 Tempo,87',Casa,Cartellino Rosso,Tyburn M.,,8dvYsood
Coppa di Francia,7° turno,15.11.2025,Oissel,Quevilly Rouen,2 Tempo,88',Ospite,Gol,Bouneb I.,1-2,8dvYsood
Coppa di Francia,7° turno,15.11.2025,Oissel,Quevilly Rouen,2 Tempo,90+3',Casa,Gol,Fofana L.,2-2,8dvYsood
Coppa di Francia,7° turno,15.11.2025,Oissel,Quevilly Rouen,Rigori,1,Casa,Rigore Assegnato,,,8dvYsood
Coppa di Francia,7° turno,15.11.2025,Oissel,Quevilly Rouen,Rigori,1,Casa,Rigore,,,8dvYsood
Coppa di Francia,7° turno,15.11.2025,Oissel,Quevilly Rouen,Rigori,1,Ospite,Rigore Assegnato,,,8dvYsood
Coppa di Francia,7° turno,15.11.2025,Oissel,Quevilly Rouen,Rigori,1,Ospite,Rigore,,,8dvYsood
Coppa di Francia,7° turno,15.11.2025,Oissel,Quevilly Rouen,Rigori,2,Casa,Rigore Assegnato,,,8dvYsood
Coppa di Francia,7° turno,15.11.2025,Oissel,Quevilly Rouen,Rigori,2,Casa,Rigore sbagliato,,,8dvYsood
Coppa di Francia,7° turno,15.11.2025,Oissel,Quevilly Rouen,Rigori,2,Ospite,Rigore Assegnato,,,8dvYsood
Coppa di Francia,7° turno,15.11.2025,Oissel,Quevilly Rouen,Rigori,2,Ospite,Rigore sbagliato,,,8dvYsood
Coppa di Francia,7° turno,15.11.2025,Oissel,Quevilly Rouen,Rigori,3,Casa,Rigore Assegnato,,,8dvYsood
Coppa di Francia,7° turno,15.11.2025,Oissel,Quevilly Rouen,Rigori,3,Casa,Rigore,,,8dvYsood
Coppa di Francia,7° turno,15.11.2025,Oissel,Quevilly Rouen,Rigori,3,Ospite,Rigore Assegnato,,,8dvYsood
Coppa di Francia,7° turno,15.11.2025,Oissel,Quevilly Rouen,Rigori,3,Ospite,Rigore,,,8dvYsood
Coppa di Francia,7° turno,15.11.2025,Oissel,Quevilly Rouen,Rigori,4,Casa,Rigore Assegnato,,,8dvYsood
Coppa di Francia,7° turno,15.11.2025,Oissel,Quevilly Rouen,Rigori,4,Casa,Rigore,,,8dvYsood
Coppa di Francia,7° turno,15.11.2025,Oissel,Quevilly Rouen,Rigori,4,Ospite,Rigore Assegnato,,,8dvYsood
Coppa di Francia,7° turno,15.11.2025,Oissel,Quevilly Rouen,Rigori,4,Ospite,Rigore,,,8dvYsood
Coppa di Francia,7° turno,15.11.2025,Oissel,Quevilly Rouen,Rigori,5,Casa,Rigore Assegnato,,,8dvYsood
Coppa di Francia,7° turno,15.11.2025,Oissel,Quevilly Rouen,Rigori,5,Casa,Rigore,,,8dvYsood
Coppa di Francia,7° turno,15.11.2025,Oissel,Quevilly Rouen,Rigori,5,Ospite,Rigore Assegnato,,,8dvYsood
